doi,cr_title,cr_container_title,cr_short_container_title,cr_volume,cr_issue,cr_page,cr_year
10.1073/pnas.1507743112,Integration of high-content screening and untargeted metabolomics for comprehensive functional annotation of natural product libraries,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,112,39,11999-12004,2015
10.1038/525292b,Climate sceptics use strong words,Nature,Nature,525,7569,292-292,2015
10.1038/525293a,A faster spin for Mercury,Nature,Nature,525,7569,293-293,2015
10.1038/ncomms9222,Allometric growth in the extant coelacanth lung during ontogenetic development,Nature Communications,Nat Commun,6,1,NA,2015
10.1038/ncomms9264,Sonogenetics is a non-invasive approach to activating neurons in Caenorhabditis elegans,Nature Communications,Nat Commun,6,1,NA,2015
10.1038/525292c,Forensics reveals uranium's past,Nature,Nature,525,7569,292-292,2015
10.1098/rsbl.2015.0610,Invasive ants carry novel viruses in their new range and form reservoirs for a honeybee pathogen,Biology Letters,Biol. Lett.,11,9,20150610,2015
10.1002/2015gl065504,Impact of aerosol emission controls on future Arctic sea ice cover,Geophysical Research Letters,Geophys. Res. Lett.,42,20,8481-8488,2015
10.1126/science.aab2319,Greenlandic Inuit show genetic signatures of diet and climate adaptation,Science,Science,349,6254,1343-1347,2015
10.1038/ncomms9192,mRNA export through an additional cap-binding complex consisting of NCBP1 and NCBP3,Nature Communications,Nat Commun,6,1,NA,2015
10.1016/j.cels.2015.08.012,Integrated Transcriptome and Proteome Analyses Reveal Organ-Specific Proteome Deterioration in Old Rats,Cell Systems,Cell Systems,1,3,224-237,2015
10.1021/jacs.5b05462,General Method for the Synthesis of Ultrastable Core/Shell Quantum Dots by Aluminum Doping,Journal of the American Chemical Society,J. Am. Chem. Soc.,137,39,12430-12433,2015
10.1038/nphys3471,A density-independent rigidity transition in biological tissues,Nature Physics,Nature Phys,11,12,1074-1079,2015
10.1002/adma.201503188,Buckling of Elastomeric Beams Enables Actuation of Soft Machines,Advanced Materials,Adv. Mater.,27,41,6323-6327,2015
10.1073/pnas.1505672112,Core formation and core composition from coupled geochemical and geophysical constraints,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,112,40,12310-12314,2015
10.1038/525428a,Global ocean on Enceladus,Nature,Nature,525,7570,428-428,2015
10.1038/525428b,How the sponge got its skeleton,Nature,Nature,525,7570,428-428,2015
10.1038/525428d,Electric zaps help spinal-cord rehab,Nature,Nature,525,7570,428-428,2015
10.1038/525429b,Orchid shapes trick male insects,Nature,Nature,525,7570,429-429,2015
10.1242/jeb.124644,Functional morphology and kinematics of terrestrial feeding in the largescale foureyes (Anableps anableps),Journal of Experimental Biology,Journal of Experimental Biology,218,18,2951-2960,2015
10.1016/j.cell.2015.08.059,Regulators of Gut Motility Revealed by a Gnotobiotic Model of Diet-Microbiome Interactions Related to Travel,Cell,Cell,163,1,95-107,2015
10.1126/science.aab0868,Functional mismatch in a bumble bee pollination mutualism under climate change,Science,Science,349,6255,1541-1544,2015
10.1016/j.cell.2015.08.058,Th17 Cell Induction by Adhesion of Microbes to Intestinal Epithelial Cells,Cell,Cell,163,2,367-380,2015
10.1016/j.cub.2015.08.024,Unexpected Levels of Biological Activity during the Polar Night Offer New Perspectives on a Warming Arctic,Current Biology,Current Biology,25,19,2555-2561,2015
10.1021/jacs.5b07931,Nanoscale Transforming Mineral Phases in Fresh Nacre,Journal of the American Chemical Society,J. Am. Chem. Soc.,137,41,13325-13333,2015
10.1126/science.aab4077,Remote control of therapeutic T cells through a small molecule-gated chimeric receptor,Science,Science,350,6258,aab4077-aab4077,2015
10.1093/mnras/stv1752,Connecting the dots – II. Phase changes in the climate dynamics of tidally locked terrestrial exoplanets,Monthly Notices of the Royal Astronomical Society,Mon. Not. R. Astron. Soc.,453,3,2413-2438,2015
10.1016/j.yhbeh.2015.09.002,Physiological resonance between mates through calls as possible evidence of empathic processes in songbirds,Hormones and Behavior,Hormones and Behavior,75,NA,130-141,2015
10.1038/nplants.2015.144,Establishing a CRISPR–Cas-like immune system conferring DNA virus resistance in plants,Nature Plants,Nature Plants,1,10,NA,2015
10.1038/nmat4422,A sunblock based on bioadhesive nanoparticles,Nature Materials,Nature Mater,14,12,1278-1285,2015
10.1002/2015gl065839,Quantifying sources and sinks of reactive gases in the lower atmosphere using airborne flux observations,Geophysical Research Letters,Geophys. Res. Lett.,42,19,8231-8240,2015
10.1371/journal.pgen.1005532,Identification of Astrotactin2 as a Genetic Modifier That Regulates the Global Orientation of Mammalian Hair Follicles,PLOS Genetics,PLoS Genet,11,9,e1005532,2015
10.1038/ncomms9452,Limited dissemination of the wastewater treatment plant core resistome,Nature Communications,Nat Commun,6,1,NA,2015
10.1038/nn.4133,Human mutant huntingtin disrupts vocal learning in transgenic songbirds,Nature Neuroscience,Nat Neurosci,18,11,1617-1622,2015
10.1038/nchem.2366,A manganese catalyst for highly reactive yet chemoselective intramolecular C(sp3)–H amination,Nature Chemistry,Nature Chem,7,12,987-994,2015
10.1073/pnas.1507274112,Contribution of cyanobacterial alkane production to the ocean hydrocarbon cycle,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,112,44,13591-13596,2015
10.1073/pnas.1514996112,A runner’s high depends on cannabinoid receptors in mice,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,112,42,13105-13108,2015
10.1038/ncomms9431,The hand of Homo naledi,Nature Communications,Nat Commun,6,1,NA,2015
10.1021/acs.est.5b03459,"Neonicotinoid Residues in Wildflowers, a Potential Route of Chronic Exposure for Bees",Environmental Science & Technology,Environ. Sci. Technol.,49,21,12731-12740,2015
10.1002/2015gl064669,"Reactivated faulting near Cushing, Oklahoma: Increased potential for a triggered earthquake in an area of United States strategic infrastructure",Geophysical Research Letters,Geophys. Res. Lett.,42,20,8328-8332,2015
10.1016/j.cell.2015.09.029,Reconstruction and Simulation of Neocortical Microcircuitry,Cell,Cell,163,2,456-492,2015
10.1016/j.cell.2015.08.030,Microbiota-Dependent Sequelae of Acute Infection Compromise Tissue-Specific Immunity,Cell,Cell,163,2,354-366,2015
10.1098/rspb.2015.1745,Artificial light at night desynchronizes strictly seasonal reproduction in a wild mammal,Proceedings of the Royal Society B: Biological Sciences,Proc. R. Soc. B.,282,1816,20151745,2015
10.1021/acs.macromol.5b01975,Allyl-Terminated Polypropylene Macromonomers: A Route to Polyolefin Elastomers with Excellent Elastic Behavior,Macromolecules,Macromolecules,48,20,7489-7494,2015
10.1038/nchem.2365,Iron sensitizer converts light to electrons with 92% yield,Nature Chemistry,Nature Chem,7,11,883-889,2015
10.1038/nn.4135,Functional connectome fingerprinting: identifying individuals using patterns of brain connectivity,Nature Neuroscience,Nat Neurosci,18,11,1664-1671,2015
10.1038/nature15726,Oxidative stress inhibits distant metastasis by human melanoma cells,Nature,Nature,527,7577,186-191,2015
10.1038/526296a,Winged weather watchers,Nature,Nature,526,7573,296-296,2015
10.1038/526296d,First ancient African genome,Nature,Nature,526,7573,296-296,2015
10.1038/526297b,How elephants dodge cancer,Nature,Nature,526,7573,297-297,2015
10.1038/526297c,Corals cope with pH-altered waters,Nature,Nature,526,7573,297-297,2015
10.1021/jacs.5b09337,Single Nanoparticle to 3D Supercage: Framing for an Artificial Enzyme System,Journal of the American Chemical Society,J. Am. Chem. Soc.,137,43,13957-13963,2015
10.1088/0004-6256/150/5/149,A RUNAWAY RED SUPERGIANT IN M31,The Astronomical Journal,AJ,150,5,149,2015
10.1016/j.stem.2015.09.001,Directly Reprogrammed Human Neurons Retain Aging-Associated Transcriptomic Signatures and Reveal Age-Related Nucleocytoplasmic Defects,Cell Stem Cell,Cell Stem Cell,17,6,705-718,2015
10.1016/j.cmet.2015.09.008,"A Comprehensive Analysis of Replicative Lifespan in 4,698 Single-Gene Deletion Strains Uncovers Conserved Mechanisms of Aging",Cell Metabolism,Cell Metabolism,22,5,895-906,2015
10.1038/srep15177,Low-Cost High-Performance MRI,Scientific Reports,Sci Rep,5,1,NA,2015
10.1126/science.aad1815,The Pluto system: Initial results from its exploration by New Horizons,Science,Science,350,6258,aad1815-aad1815,2015
10.1126/science.aaa9306,A skin-inspired organic digital mechanoreceptor,Science,Science,350,6258,313-316,2015
10.1038/srep15043,"Global Landscape of Total Organic Carbon, Nitrogen and Phosphorus in Lake Water",Scientific Reports,Sci Rep,5,1,NA,2015
10.7554/elife.10036,Pericytes are progenitors for coronary artery smooth muscle,eLife,NA,4,NA,NA,2015
10.1038/nmat4449,Fast diffusion of water nanodroplets on graphene,Nature Materials,Nature Mater,15,1,66-71,2015
10.1038/ncomms9638,Electric eels use high-voltage to track fast-moving prey,Nature Communications,Nat Commun,6,1,NA,2015
10.1038/526479b,Wild flowers are a pesticide source,Nature,Nature,526,7574,479-479,2015
10.1073/pnas.1516215112,Genetic structure in village dogs reveals a Central Asian domestication origin,Proceedings of the National Academy of Sciences,Proc Natl Acad Sci USA,112,44,13639-13644,2015
10.1242/dev.127951,Lin-28 promotes symmetric stem cell division and drives adaptive growth in the adultDrosophilaintestine,Development,Development,142,20,3478-3487,2015
10.1063/1.4932969,Flux-coherent series SQUID array magnetometers operating above 77 K with superior white flux noise than single-SQUIDs at 4.2 K,Applied Physics Letters,Appl. Phys. Lett.,107,16,162602,2015
10.1101/gad.267724.115,"A cellular, molecular, and pharmacological basis for appendage regeneration in mice",Genes & Development,Genes Dev.,29,20,2097-2107,2015
10.1016/j.cell.2015.10.009,"Early Divergent Strains of Yersinia pestis in Eurasia 5,000 Years Ago",Cell,Cell,163,3,571-582,2015
10.1016/j.cub.2015.08.052,Caffeinated Forage Tricks Honeybees into Increasing Foraging and Recruitment Behaviors,Current Biology,Current Biology,25,21,2815-2818,2015
10.1016/j.molcel.2015.09.009,Anionic Phospholipids Stabilize RecA Filament Bundles in Escherichia coli,Molecular Cell,Molecular Cell,60,3,374-384,2015
10.1038/ncomms9643,Multimaterial magnetically assisted 3D printing of composite materials,Nature Communications,Nat Commun,6,1,NA,2015
10.1126/science.aac8128,Reduced grid-cell-like representations in adults at genetic risk for Alzheimer's disease,Science,Science,350,6259,430-433,2015
10.1098/rsbl.2015.0599,I'm sexy and I glow it: female ornamentation in a nocturnal capital breeder,Biology Letters,Biol. Lett.,11,10,20150599,2015
10.1038/ncomms9661,Holographic acoustic elements for manipulation of levitated objects,Nature Communications,Nat Commun,6,1,NA,2015
10.1038/526612d,Iron skin senses the softest touch,Nature,Nature,526,7575,612-612,2015
10.1038/526612e,Gene regulation predates animals,Nature,Nature,526,7575,612-613,2015
10.1038/526613b,Molecular menu creates neurons,Nature,Nature,526,7575,613-613,2015
10.1038/526613d,Arctic snow is not becoming dirtier,Nature,Nature,526,7575,613-613,2015
10.1016/j.anbehav.2015.09.016,Lemurs groom-at-a-distance through vocal networks,Animal Behaviour,Animal Behaviour,110,NA,179-186,2015
10.1111/jfb.12799,Ballistic Beloniformes attacking through Snell's Window,Journal of Fish Biology,J Fish Biol,88,2,727-734,2015
10.1103/physrevlett.115.184301,Popping Balloons: A Case Study of Dynamical Fragmentation,Physical Review Letters,Phys. Rev. Lett.,115,18,NA,2015
10.1038/nclimate2844,Abrupt onset and prolongation of aragonite undersaturation events in the Southern Ocean,Nature Climate Change,Nature Clim Change,6,2,172-176,2015
10.1038/nclimate2848,Mapping the future expansion of Arctic open water,Nature Climate Change,Nature Clim Change,6,3,280-285,2015
10.1038/nphys3526,Spin hydrodynamic generation,Nature Physics,Nature Phys,12,1,52-56,2015
10.1016/j.immuni.2015.09.012,The Intestinal Microbiota Contributes to the Ability of Helminths to Modulate Allergic Inflammation,Immunity,Immunity,43,5,998-1010,2015
10.1016/j.ccell.2015.09.022,T Cells Engineered against a Native Antigen Can Surmount Immunologic and Physical Barriers to Treat Pancreatic Ductal Adenocarcinoma,Cancer Cell,Cancer Cell,28,5,638-652,2015
10.1007/s10984-015-9197-y,Development and validation of a Supportive Learning Environment for Expertise Development Questionnaire (SLEED-Q),Learning Environments Research,Learning Environ Res,19,1,17-41,2015
10.1038/srep16039,"Heterobimetallic Zeolite, InV-ZSM-5, Enables Efficient Conversion of Biomass Derived Ethanol to Renewable Hydrocarbons",Scientific Reports,Sci Rep,5,1,NA,2015
10.1038/527010b,Carnivores curbed mammoth numbers,Nature,Nature,527,7576,10-10,2015
10.1038/527010c,Related wasps commit treason,Nature,Nature,527,7576,10-10,2015
10.1038/527011c,Survival boost for cloned embryos,Nature,Nature,527,7576,11-11,2015
10.1002/anie.201506902,The First Crystal Structure of a Reactive Dirhodium Carbene Complex and a Versatile Method for the Preparation of Gold Carbenes by Rhodium-to-Gold Transmetalation,Angewandte Chemie International Edition,Angew. Chem. Int. Ed.,54,51,15452-15456,2015
10.1002/2015gl066237,Evidence for long-lived subduction of an ancient tectonic plate beneath the southern Indian Ocean,Geophysical Research Letters,Geophys. Res. Lett.,42,21,9270-9278,2015
